"filename", "language", "JSON with Comments", "TypeScript", "TypeScript React", "JSON", "JavaScript", "Properties", "XML", "CSS", "Markdown", "HTML", "Ignore", "comment", "blank", "total"
"g:\jira项目\jira\.env", "Properties", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"g:\jira项目\jira\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"g:\jira项目\jira\.prettierrc.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\jira项目\jira\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 22, 49
"g:\jira项目\jira\commitlint.config.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\jira项目\jira\package.json", "JSON", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 1, 84
"g:\jira项目\jira\public\404.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 5, 42
"g:\jira项目\jira\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 25, 4, 68
"g:\jira项目\jira\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"g:\jira项目\jira\public\mockServiceWorker.js", "JavaScript", 0, 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 43, 53, 304
"g:\jira项目\jira\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 3, 15
"g:\jira项目\jira\src\App.test.tsx", "TypeScript React", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"g:\jira项目\jira\src\App.tsx", "TypeScript React", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"g:\jira项目\jira\src\__tests__\db.json", "JSON", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"g:\jira项目\jira\src\__tests__\http.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 36
"g:\jira项目\jira\src\__tests__\mark.tsx", "TypeScript React", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"g:\jira项目\jira\src\__tests__\project-list.tsx", "TypeScript React", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 58
